Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),1_ZONE1:Zone Air Temperature [C](Hourly),0_ZONE1:Zone Air Temperature [C](Hourly),0_ZONE2:Zone Air Temperature [C](Hourly),VRF_1_ZONE1 VRF HEAT PUMP:VRF Heat Pump COP [](Hourly),VRF_1_ZONE1 VRF HEAT PUMP:VRF Heat Pump Part Load Ratio [](Hourly),VRF_0_ZONE1 VRF HEAT PUMP:VRF Heat Pump COP [](Hourly),VRF_0_ZONE1 VRF HEAT PUMP:VRF Heat Pump Part Load Ratio [](Hourly),VRF_0_ZONE2 VRF HEAT PUMP:VRF Heat Pump COP [](Hourly),VRF_0_ZONE2 VRF HEAT PUMP:VRF Heat Pump Part Load Ratio [](Hourly) 
 01/04  17:00:00,5.541666666666667,22.001652720564694,22.000935671835149,22.00073184716737,2.192717018717181,0.28552197490649397,2.0628244581799519,0.25,2.1041702681225087,0.26168905111261717 
 01/04  18:00:00,5.383333333333333,22.001497257992069,22.000909495589484,22.00071099812733,2.2106026368236479,0.2930476919394057,2.0665012346273969,0.25,2.124345211205769,0.26916173533228079 
 01/04  19:00:00,5.183333333333334,12.481860171823753,15.317145646363182,15.107519797055746,0.0,0.0,0.0,0.0,0.0,0.0 
 01/04  20:00:00,4.983333333333333,9.511476584863815,11.775237376354753,11.745776538080257,0.0,0.0,0.0,0.0,0.0,0.0 
 01/04  21:00:00,4.7250000000000009,7.903987539794136,10.553145996611365,10.421957696751708,0.0,0.0,0.0,0.0,0.0,0.0 
 01/04  22:00:00,4.366666666666666,6.731382692127212,9.983959995417685,9.736250366942136,0.0,0.0,0.0,0.0,0.0,0.0 
 01/04  23:00:00,4.0249999999999999,5.77794374775758,9.631604942176521,9.286604278677713,0.0,0.0,0.0,0.0,0.0,0.0 
 01/04  24:00:00,3.725,5.032829932021034,9.390126520514619,8.977342747892902,0.0,0.0,0.0,0.0,0.0,0.0 
 01/05  01:00:00,3.3666666666666669,4.402672630311116,9.198133192298949,8.73745895786461,0.0,0.0,0.0,0.0,0.0,0.0 
 01/05  02:00:00,3.025,3.860166822467812,9.000277921233542,8.511278652639163,0.0,0.0,0.0,0.0,0.0,0.0 
